FileName,TPClass1,FPClass2,FPClass1,TPClass2
hetero_trainingSetWithClassNominal_Normalized.outTestWithConfusionMatrix,4436,154,48,8088
hetero_trainingSetWithClassNominal_Normalized_selectAttr.outTestWithConfusionMatrix,4587,3,1,8135
hetero_trainingSetWithClassNominal.outTestWithConfusionMatrix,4450,140,47,8089
hetero_trainingSetWithClassNominal_selectAttr.outTestWithConfusionMatrix,4234,356,78,8058
homonpqc_trainingSetWithClassNominal_Normalized.outTestWithConfusionMatrix,1043,1,31,106
homonpqc_trainingSetWithClassNominal_Normalized_selectAttr.outTestWithConfusionMatrix,1041,3,35,102
homonpqc_trainingSetWithClassNominal.outTestWithConfusionMatrix,1043,1,36,101
homonpqc_trainingSetWithClassNominal_selectAttr.outTestWithConfusionMatrix,1041,3,43,94
homopep_trainingSetWithClassNominal_Normalized.outTestWithConfusionMatrix,3494,52,18,7981
homopep_trainingSetWithClassNominal_Normalized_selectAttr.outTestWithConfusionMatrix,3537,9,19,7980
homopep_trainingSetWithClassNominal.outTestWithConfusionMatrix,3487,59,20,7979
homopep_trainingSetWithClassNominal_selectAttr.outTestWithConfusionMatrix,3404,142,37,7962
