FileName,TPClass1,FPClass2,FPClass1,TPClass2
hetero_trainingSetWithClassNominal_Normalized.outTestWithConfusionMatrix,4167,162,31,8366
hetero_trainingSetWithClassNominal_Normalized_selectAttr.outTestWithConfusionMatrix,4326,3,1,8396
hetero_trainingSetWithClassNominal.outTestWithConfusionMatrix,4326,3,1,8396
hetero_trainingSetWithClassNominal_selectAttr.outTestWithConfusionMatrix,4241,88,15,8382
homonpqc_trainingSetWithClassNominal_Normalized.outTestWithConfusionMatrix,699,84,130,268
homonpqc_trainingSetWithClassNominal_Normalized_selectAttr.outTestWithConfusionMatrix,702,81,196,202
homonpqc_trainingSetWithClassNominal.outTestWithConfusionMatrix,699,84,130,268
homonpqc_trainingSetWithClassNominal_selectAttr.outTestWithConfusionMatrix,783,0,15,383
homopep_trainingSetWithClassNominal_Normalized.outTestWithConfusionMatrix,3499,47,20,7979
homopep_trainingSetWithClassNominal_Normalized_selectAttr.outTestWithConfusionMatrix,3502,44,26,7973
homopep_trainingSetWithClassNominal.outTestWithConfusionMatrix,3499,47,20,7979
homopep_trainingSetWithClassNominal_selectAttr.outTestWithConfusionMatrix,3543,3,1,7998
